uf;cod_munic;nome_do_municipio;pop
MA;06508;Matinha; 22 034
MA;06607;Matões; 32 174
MA;06631;Matões do Norte; 17 432
MA;06672;Milagres do Maranhão; 8 818
MA;06706;Mirador; 21 030
MA;06755;Miranda do Norte; 23 864
MA;06805;Mirinzal; 13 978
MA;06904;Monção; 27 751
MA;07001;Montes Altos; 9 107
MA;07100;Morros; 18 554
MA;07209;Nina Rodrigues; 14 060
MA;07258;Nova Colinas; 5 021
MA;07308;Nova Iorque; 4 320
MA;07357;Nova Olinda do Maranhão; 14 314
MA;07407;Olho d'Água das Cunhãs; 17 919
MA;07456;Olinda Nova do Maranhão; 13 577
MA;07506;Paço do Lumiar; 145 643
MA;07605;Palmeirândia; 21 059
MA;07704;Paraibano; 18 274
MA;07803;Parnarama; 31 250
MA;07902;Passagem Franca; 17 220
MA;08009;Pastos Bons; 18 802
MA;08058;Paulino Neves; 17 056
MA;08108;Paulo Ramos; 20 341
MA;08207;Pedreiras; 37 050
MA;08256;Pedro do Rosário; 24 320
MA;08306;Penalva; 32 511
MA;08405;Peri Mirim; 11 106
MA;08454;Peritoró; 20 479
MA;08504;Pindaré-Mirim; 31 414
MA;08603;Pinheiro; 84 614
MA;08702;Pio XII; 21 886
MA;08801;Pirapemas; 17 714
MA;08900;Poção de Pedras; 17 161
MA;09007;Porto Franco; 23 903
MA;09056;Porto Rico do Maranhão; 5 954
MA;09106;Presidente Dutra; 45 155
MA;09205;Presidente Juscelino; 11 356
MA;09239;Presidente Médici; 4 696
MA;09270;Presidente Sarney; 17 470
MA;09304;Presidente Vargas; 10 498
MA;09403;Primeira Cruz; 13 614
MA;09452;Raposa; 30 839
MA;09502;Riachão; 22 145
MA;09551;Ribamar Fiquene; 7 420
MA;09601;Rosário; 38 475
MA;09700;Sambaíba; 5 568
MA;09759;Santa Filomena do Maranhão; 6 697
MA;09809;Santa Helena; 41 561
MA;09908;Santa Inês; 85 014
MA;10005;Santa Luzia; 57 635
MA;10039;Santa Luzia do Paruá; 24 307
MA;10104;Santa Quitéria do Maranhão; 23 957
MA;10203;Santa Rita; 37 035
MA;10237;Santana do Maranhão; 10 567
MA;10278;Santo Amaro do Maranhão; 13 671
MA;10302;Santo Antônio dos Lopes; 14 304
MA;10401;São Benedito do Rio Preto; 18 364
MA;10500;São Bento; 46 397
MA;10609;São Bernardo; 26 943
MA;10658;São Domingos do Azeitão; 7 992
MA;10708;São Domingos do Maranhão; 34 034
MA;10807;São Félix de Balsas; 4 402
MA;10856;São Francisco do Brejão; 9 051
MA;10906;São Francisco do Maranhão; 12 064
MA;11003;São João Batista; 18 544
MA;11029;São João do Carú; 12 251
MA;11052;São João do Paraíso; 9 904
MA;11078;São João do Soter; 16 889
MA;11102;São João dos Patos; 25 020
MA;11201;São José de Ribamar; 244 579
MA;11250;São José dos Basílios; 6 957
MA;11300;São Luís;1 037 775
MA;11409;São Luís Gonzaga do Maranhão; 17 818
MA;11508;São Mateus do Maranhão; 38 829
MA;11532;São Pedro da Água Branca; 13 444
MA;11573;São Pedro dos Crentes; 5 783
MA;11607;São Raimundo das Mangabeiras; 18 672
MA;11631;São Raimundo do Doca Bezerra; 5 650
MA;11672;São Roberto; 4 544
MA;11706;São Vicente Ferrer; 19 498
MA;11722;Satubinha; 8 784
MA;11748;Senador Alexandre Costa; 10 207
MA;11763;Senador La Rocque; 14 700
MA;11789;Serrano do Maranhão; 10 202
MA;11805;Sítio Novo; 17 074
MA;11904;Sucupira do Norte; 10 238
MA;11953;Sucupira do Riachão; 4 985
MA;12001;Tasso Fragoso; 8 862
MA;12100;Timbiras; 26 484
MA;12209;Timon; 174 465
MA;12233;Trizidela do Vale; 22 484
MA;12274;Tufilândia; 5 507
MA;12308;Tuntum; 36 251
MA;12407;Turiaçu; 37 491
MA;12456;Turilândia; 31 638
MA;12506;Tutóia; 53 356
MA;12605;Urbano Santos; 32 812
MA;12704;Vargem Grande; 43 261
MA;12803;Viana; 51 442
MA;12852;Vila Nova dos Martírios; 10 362
MA;12902;Vitória do Mearim; 30 805
MA;13009;Vitorino Freire; 30 845
MA;14007;Zé Doca; 40 801
PI;00053;Acauã; 6 420
PI;00103;Agricolândia; 4 940
PI;00202;Água Branca; 17 573
PI;00251;Alagoinha do Piauí; 6 819
PI;00277;Alegrete do Piauí; 4 634
PI;00301;Alto Longá; 13 479
PI;00400;Altos; 47 416
